transaction_id,in_cycle,cycle_length,in_cycle_ge3,cycle_amount_ratio,cycle_time_span,fan_in,fan_out,dest_in_degree,src_out_degree,lap_in_recur,lap_in_payers,lap_out_recur,lap_out_payees
fraud_1:100000000:1,0,0,0,,,0,0,0,0,0,0,0,0
fraud_1:100000000:2,0,0,0,,,0,1,0,1,0,0,1,1
fraud_1:100000001:1,0,0,0,,,0,0,0,0,0,0,0,0
fraud_1:100000001:2,0,0,0,,,1,1,1,1,0,0,1,1
fraud_1:100000002:1,0,0,0,,,0,0,0,0,0,0,0,0
fraud_1:100000002:2,0,0,0,,,2,1,2,1,0,0,1,1
fraud_1:100000003:1,0,0,0,,,0,0,0,0,0,0,0,0
fraud_1:100000003:2,0,0,0,,,3,1,3,1,0,0,1,1
fraud_1:100000004:1,0,0,0,,,4,0,4,0,0,0,0,0
fraud_1:100000004:2,0,0,0,,,0,1,0,1,0,0,1,1
fraud_1:5000000000:1,0,0,0,,,0,0,0,0,0,0,0,0
fraud_1:5000000000:2,0,0,0,,,0,1,0,1,0,0,1,1
fraud_1:5000000000:3,0,0,0,,,1,2,1,2,0,0,0,0
fraud_1:5000000000:4,0,0,0,,,1,2,1,3,0,0,1,1
fraud_1:5000000000:5,0,0,0,,,1,2,2,4,1,1,2,2
fraud_1:5000000000:6,0,0,0,,,1,2,2,5,1,1,3,2
fraud_1:5000000000:7,0,0,0,,,1,2,3,6,0,0,0,0
fraud_1:5000000000:8,0,0,0,,,1,2,3,7,0,0,1,1
fraud_1:5000000000:9,0,0,0,,,1,2,4,8,0,0,0,0
fraud_1:5000000000:10,0,0,0,,,1,2,4,9,0,0,1,1
fraud_1:5000000000:11,0,0,0,,,1,2,5,10,0,0,0,0
fraud_1:5000000000:12,0,0,0,,,1,2,5,11,0,0,1,1
fraud_1:5100000000:1,0,0,0,,,0,0,0,0,0,0,0,0
fraud_1:5100000000:2,0,0,0,,,1,1,6,1,1,1,0,0
fraud_1:5100000000:3,0,0,0,,,2,2,7,2,2,1,0,0
fraud_1:5100000000:4,0,0,0,,,2,2,8,3,3,2,1,1
fraud_1:5100000000:5,0,0,0,,,2,2,9,4,1,1,0,0
fraud_1:5100000000:6,0,0,0,,,2,2,10,5,1,1,0,0
fraud_1:5100000000:7,0,0,0,,,2,2,11,6,1,1,0,0
fraud_1:5000000001:1,0,0,0,,,1,0,6,0,0,0,0,0
fraud_1:5000000001:2,0,0,0,,,2,1,12,1,0,0,1,1
fraud_1:5000000001:3,0,0,0,,,2,2,7,2,0,0,0,0
fraud_1:5000000001:4,0,0,0,,,3,2,13,3,0,0,1,1
fraud_1:5000000001:5,0,0,0,,,2,2,8,4,1,1,2,2
fraud_1:5000000001:6,0,0,0,,,3,2,14,5,1,1,3,2
fraud_1:5000000001:7,0,0,0,,,2,2,9,6,1,1,2,2
fraud_1:5000000001:8,0,0,0,,,3,2,15,7,1,1,3,2
fraud_1:5100000001:1,0,0,0,,,1,0,1,0,0,0,0,0
fraud_1:5100000001:2,0,0,0,,,3,1,16,1,2,1,0,0
fraud_1:5100000001:3,0,0,0,,,4,2,17,2,2,1,0,0
fraud_1:5100000001:4,0,0,0,,,4,2,18,3,3,2,1,1
fraud_1:5100000001:5,0,0,0,,,4,2,19,4,3,2,1,1
fraud_1:4900000000:1,0,0,0,,,0,0,0,0,0,0,0,0
fraud_1:4900000000:2,0,0,0,,,0,1,0,1,0,0,1,1
fraud_1:4900000001:1,0,0,0,,,2,0,10,0,0,0,0,0
fraud_1:4900000001:2,0,0,0,,,0,1,0,1,0,0,1,1
fraud_1:4900000001:3,0,0,0,,,3,2,11,2,0,0,0,0
fraud_1:4900000001:4,0,0,0,,,1,2,1,3,0,0,1,1
fraud_1:4900000001:5,0,0,0,,,3,2,12,4,0,0,0,0
fraud_1:4900000001:6,0,0,0,,,1,2,2,5,0,0,1,1
fraud_1:4900000001:7,0,0,0,,,3,2,13,6,0,0,0,0
