account_id,node_kind
DOC:fraud_1:100000000,document
DOC:fraud_1:100000001,document
DOC:fraud_1:100000002,document
DOC:fraud_1:100000003,document
DOC:fraud_1:100000004,document
DOC:fraud_1:5000000000,document
DOC:fraud_1:5100000000,document
DOC:fraud_1:5000000001,document
DOC:fraud_1:5100000001,document
DOC:fraud_1:4900000000,document
DOC:fraud_1:4900000001,document
DOC:fraud_1:4900000002,document
DOC:fraud_1:100000005,document
DOC:fraud_1:100000006,document
DOC:fraud_1:4900000003,document
DOC:fraud_1:100000007,document
DOC:fraud_1:100000008,document
DOC:fraud_1:100000009,document
DOC:fraud_1:100000010,document
DOC:fraud_1:4900000004,document
DOC:fraud_1:4900000005,document
DOC:fraud_1:4900000006,document
DOC:fraud_1:90000000,document
DOC:fraud_1:4900000007,document
DOC:fraud_1:90000001,document
DOC:fraud_1:4900000008,document
DOC:fraud_1:90000002,document
DOC:fraud_1:4900000009,document
DOC:fraud_1:90000003,document
DOC:fraud_1:4900000010,document
DOC:fraud_1:90000004,document
DOC:fraud_1:4900000011,document
DOC:fraud_1:90000005,document
DOC:fraud_1:4900000012,document
DOC:fraud_1:4900000013,document
DOC:fraud_1:90000006,document
DOC:fraud_1:4900000014,document
DOC:fraud_1:90000007,document
DOC:fraud_1:90000008,document
DOC:fraud_1:4900000015,document
DOC:fraud_1:4900000016,document
DOC:fraud_1:90000009,document
DOC:fraud_1:4900000017,document
DOC:fraud_1:90000010,document
DOC:fraud_1:90000011,document
DOC:fraud_1:4900000018,document
DOC:fraud_1:90000012,document
DOC:fraud_1:4900000019,document
DOC:fraud_1:4900000020,document
DOC:fraud_1:90000013,document
DOC:fraud_1:4900000021,document
DOC:fraud_1:90000014,document
DOC:fraud_1:90000015,document
DOC:fraud_1:4900000022,document
DOC:fraud_1:90000016,document
DOC:fraud_1:4900000023,document
DOC:fraud_1:4900000024,document
DOC:fraud_1:90000017,document
DOC:fraud_1:4900000025,document
DOC:fraud_1:90000018,document
DOC:fraud_1:90000019,document
DOC:fraud_1:5000000002,document
DOC:fraud_1:4900000026,document
DOC:fraud_1:4900000027,document
DOC:fraud_1:5000000003,document
DOC:fraud_1:5100000002,document
DOC:fraud_1:5100000003,document
DOC:fraud_1:4900000028,document
DOC:fraud_1:4900000029,document
DOC:fraud_1:90000020,document
DOC:fraud_1:90000021,document
DOC:fraud_1:4900000030,document
DOC:fraud_1:90000022,document
DOC:fraud_1:90000023,document
DOC:fraud_1:4900000031,document
DOC:fraud_1:90000024,document
DOC:fraud_1:90000025,document
DOC:fraud_1:4900000032,document
DOC:fraud_1:90000026,document
DOC:fraud_1:90000027,document
DOC:fraud_1:4900000033,document
DOC:fraud_1:90000028,document
DOC:fraud_1:4900000034,document
DOC:fraud_1:90000029,document
DOC:fraud_1:90000030,document
DOC:fraud_1:4900000035,document
DOC:fraud_1:90000031,document
DOC:fraud_1:90000032,document
DOC:fraud_1:4900000036,document
DOC:fraud_1:90000033,document
DOC:fraud_1:4900000037,document
DOC:fraud_1:90000034,document
DOC:fraud_1:90000035,document
DOC:fraud_1:4900000038,document
DOC:fraud_1:4900000039,document
DOC:fraud_1:90000036,document
DOC:fraud_1:90000037,document
DOC:fraud_1:90000038,document
DOC:fraud_1:4900000040,document
DOC:fraud_1:90000039,document
DOC:fraud_1:4900000041,document
DOC:fraud_1:90000040,document
DOC:fraud_1:4900000042,document
DOC:fraud_1:90000041,document
DOC:fraud_1:4900000043,document
DOC:fraud_1:90000042,document
DOC:fraud_1:4900000044,document
DOC:fraud_1:4900000045,document
DOC:fraud_1:90000043,document
DOC:fraud_1:4900000046,document
DOC:fraud_1:90000044,document
DOC:fraud_1:90000045,document
DOC:fraud_1:4900000047,document
DOC:fraud_1:90000046,document
DOC:fraud_1:1400000000,document
DOC:fraud_1:4900000048,document
DOC:fraud_1:4900000049,document
DOC:fraud_1:4900000050,document
DOC:fraud_1:90000047,document
DOC:fraud_1:4900000051,document
DOC:fraud_1:4900000052,document
DOC:fraud_1:90000048,document
DOC:fraud_1:4900000053,document
DOC:fraud_1:90000049,document
DOC:fraud_1:90000050,document
DOC:fraud_1:4900000054,document
DOC:fraud_1:90000051,document
DOC:fraud_1:4900000055,document
DOC:fraud_1:90000052,document
DOC:fraud_1:4900000056,document
DOC:fraud_1:90000053,document
DOC:fraud_1:4900000057,document
DOC:fraud_1:90000054,document
DOC:fraud_1:4900000058,document
