account_id,role,creation_day
VEND:0000,vendor,-1542
VEND:0001,vendor,286
VEND:0002,vendor,-1883
VEND:0003,vendor,-1969
VEND:0004,vendor,-3371
VEND:0005,vendor,-3376
VEND:0006,vendor,270
VEND:0007,vendor,-1739
VEND:0008,vendor,25
VEND:0009,vendor,-2768
VEND:0010,vendor,80
VEND:0011,vendor,-963
VEND:0012,vendor,-294
VEND:0013,vendor,-3380
VEND:0014,vendor,-1680
VEND:0015,vendor,110
VEND:0016,vendor,-1913
VEND:0017,vendor,-2219
VEND:0018,vendor,-362
VEND:0019,vendor,-3448
VEND:0020,vendor,-564
VEND:0021,vendor,173
VEND:0022,vendor,-1848
VEND:0023,vendor,-3388
VEND:0024,vendor,-1588
VEND:0025,vendor,-405
VEND:0026,vendor,-1806
VEND:0027,vendor,-3409
VEND:0028,vendor,-609
VEND:0029,vendor,-2808
VEND:0030,vendor,228
VEND:0031,vendor,-3203
VEND:0032,vendor,251
VEND:0033,vendor,-2409
VEND:0034,vendor,-2633
VEND:0035,vendor,-2711
VEND:0036,vendor,-1901
VEND:0037,vendor,-1833
VEND:0038,vendor,-1960
VEND:0039,vendor,-3150
VEND:0040,vendor,-1618
VEND:0041,vendor,292
VEND:0042,vendor,-1846
VEND:0043,vendor,-1903
VEND:0044,vendor,-884
VEND:0045,vendor,-2778
VEND:0046,vendor,-1846
VEND:0047,vendor,-1641
VEND:0048,vendor,-2691
VEND:0049,vendor,-2815
VEND:0050,vendor,-84
VEND:0051,vendor,-3323
VEND:0052,vendor,-3360
VEND:0053,vendor,-655
VEND:0054,vendor,-1649
VEND:0055,vendor,-3153
VEND:0056,vendor,-2638
VEND:0057,vendor,-3258
VEND:0058,vendor,-1286
VEND:0059,vendor,-880
VEND:0060,vendor,-3000
VEND:0061,vendor,170
VEND:0062,vendor,-867
VEND:0063,vendor,-1855
VEND:0064,vendor,279
VEND:0065,vendor,-1764
VEND:0066,vendor,-372
VEND:0067,vendor,-1343
VEND:0068,vendor,-1267
VEND:0069,vendor,-2939
VEND:0070,vendor,-3479
VEND:0071,vendor,-2581
VEND:0072,vendor,-586
VEND:0073,vendor,-682
VEND:0074,vendor,-1639
VEND:0075,vendor,285
VEND:0076,vendor,-1029
VEND:0077,vendor,-3440
VEND:0078,vendor,-3382
VEND:0079,vendor,-1699
VEND:0080,vendor,-3002
