Bestandskonto,Bewertungsklasse,Einzelpostenanzeige moeglich,Erfolgskontentyp,Geschaeftsbereich,Gruppenkennzeichen,KZ EKBE,Kennzeichen: Posten nicht kopierbar ?,Kostenstelle,Kreditkontr_Bereich,Laufende Kontierung,PartnerPrctr,Profitcenter,Rechnungsbezug,Soll/Haben-Kennz_,Sperrgrund Menge,Steuerkennzeichen,Bewertungskreis,Steuerstandort,Umsatzwirksam,Verwaltung offener Posten,Werk,Zahlungsbedingung,Zahlungssperre,Alternative Kontonummer,Basismengeneinheit,BestPreisMngEinheit,Bestandsbuchung,Bestellmengeneinheit,Buchungsschluessel,Buchungszeilen-Id,ErfassungsMngEinh,Hauptbuchkonto,Kontoart,Kostenart,Kreditor,Material,Preissteuerung,Sachkonto,Vorgang,Vorgangsart GL,Wertestring,Betrag Hauswaehr,Betrag,Betrag_5,Gesamtbestand,Gesamtwert,Kreditkontr_betrag,Menge in BPME,Menge in ErfassME,Menge,Skontobasis,Label,Belegnummer,Position,Transaktionsart,Erfassungsuhrzeit
X,,X,,,0,,,,,,,,,S,,,,,,,,,,113300,,,,,40,,,113300,S,,,,,,,RFBU,,20000000,,0,,,0,0,0,0,0,NonFraud,100000000,1,Sachkontenbuchung,13:19:17
X,,X,,,0,,,,,,,,,H,,,,,,,,,,70000,,,,,50,,,70000,S,,,,,,,RFBU,,20000000,,0,,,0,0,0,0,0,NonFraud,100000000,2,Sachkontenbuchung,13:19:17
X,,,,,0,,,,,,,,,S,,,,,,,,,,,,,,,40,,,1000,S,,,,,,,RFBU,,500000,,0,,,0,0,0,0,0,NonFraud,100000001,1,Sachkontenbuchung,13:19:17
X,,X,,,0,,,,,,,,,H,,,,,,,,,,113300,,,,,50,,,113300,S,,,,,,,RFBU,,500000,,0,,,0,0,0,0,0,NonFraud,100000001,2,Sachkontenbuchung,13:19:17
X,,,,,0,,,,,,,,,S,,,,,,,,,,,,,,,40,,,2000,S,,,,,,,RFBU,,1500000,,0,,,0,0,0,0,0,NonFraud,100000002,1,Sachkontenbuchung,13:19:18
X,,X,,,0,,,,,,,,,H,,,,,,,,,,113300,,,,,50,,,113300,S,,,,,,,RFBU,,1500000,,0,,,0,0,0,0,0,NonFraud,100000002,2,Sachkontenbuchung,13:19:18
X,,,,,0,,,,,,,,,S,,,,,,,,,,,,,,,40,,,11000,S,,,,,,,RFBU,,24000000,,0,,,0,0,0,0,0,NonFraud,100000003,1,Sachkontenbuchung,13:19:18
X,,X,,,0,,,,,,,,,H,,,,,,,,,,113300,,,,,50,,,113300,S,,,,,,,RFBU,,24000000,,0,,,0,0,0,0,0,NonFraud,100000003,2,Sachkontenbuchung,13:19:18
X,,X,,,0,,,,,,,,,S,,,,,,,,,,113300,,,,,40,,,113300,S,,,,,,,RFBU,,8000000,,0,,,0,0,0,0,0,NonFraud,100000004,1,Sachkontenbuchung,13:19:18
X,,X,,,0,,,,,,,,,H,,,,,,X,,,,113101,,,,,50,,,113101,S,,,,,,,RFBU,,8000000,,0,,,0,0,0,0,0,NonFraud,100000004,2,Sachkontenbuchung,13:19:18
X,3000,,,,0,X,X,,,0,,AA,,S,,XI,AA,DE0000000,,,AA,,,,KG,KG,0,KG,89,M,KG,300000,M,,V01,AA-R02,V,,BSX,RMWE,WE01,134400,134400,0,33600,134400,0,33600,33600,33600,0,NonFraud,5000000000,1,Materialzugang,13:36:16
X,3000,X,,,0,X,X,,,0,,AA,,H,,XI,AA,DE0000000,,X,AA,,,191100,KG,KG,0,KG,96,W,KG,191100,S,,V01,AA-R02,V,,WRX,RMWE,WE01,134400,134400,0,33600,134400,0,33600,33600,33600,0,NonFraud,5000000000,2,Sachkontenbuchung,13:36:16
X,3000,,,,0,X,X,,,0,,AA,,S,,XI,AA,DE0000000,,,AA,,,,KG,KG,0,KG,89,M,KG,300000,M,,V01,AA-R05,V,,BSX,RMWE,WE01,38808,38808,0,39200,38808,0,39200,39200,39200,0,NonFraud,5000000000,3,Materialzugang,13:36:16
X,3000,X,,,0,X,X,,,0,,AA,,H,,XI,AA,DE0000000,,X,AA,,,191100,KG,KG,0,KG,96,W,KG,191100,S,,V01,AA-R05,V,,WRX,RMWE,WE01,38808,38808,0,39200,38808,0,39200,39200,39200,0,NonFraud,5000000000,4,Sachkontenbuchung,13:36:16
X,3000,,,,0,X,X,,,0,,AA,,S,,XI,AA,DE0000000,,,AA,,,,KG,KG,0,KG,89,M,KG,300000,M,,V01,AA-R06,V,,BSX,RMWE,WE01,36064,36064,0,39200,36064,0,39200,39200,39200,0,NonFraud,5000000000,5,Materialzugang,13:36:16
X,3000,X,,,0,X,X,,,0,,AA,,H,,XI,AA,DE0000000,,X,AA,,,191100,KG,KG,0,KG,96,W,KG,191100,S,,V01,AA-R06,V,,WRX,RMWE,WE01,36064,36064,0,39200,36064,0,39200,39200,39200,0,NonFraud,5000000000,6,Sachkontenbuchung,13:36:16
X,3000,,,,0,X,X,,,0,,AA,,S,,XI,AA,DE0000000,,,AA,,,,ST,ST,0,ST,89,M,ST,300000,M,,V02,AA-P01,V,,BSX,RMWE,WE01,31360,31360,0,112000,31360,0,112000,112000,112000,0,NonFraud,5000000001,1,Materialzugang,13:36:18
X,3000,X,,,0,X,X,,,0,,AA,,H,,XI,AA,DE0000000,,X,AA,,,191100,ST,ST,0,ST,96,W,ST,191100,S,,V02,AA-P01,V,,WRX,RMWE,WE01,31360,31360,0,112000,31360,0,112000,112000,112000,0,NonFraud,5000000001,2,Sachkontenbuchung,13:36:18
X,3000,,,,0,X,X,,,0,,AA,,S,,XI,AA,DE0000000,,,AA,,,,ST,ST,0,ST,89,M,ST,300000,M,,V02,AA-P02,V,,BSX,RMWE,WE01,13440,13440,0,112000,13440,0,112000,112000,112000,0,NonFraud,5000000001,3,Materialzugang,13:36:18
X,3000,X,,,0,X,X,,,0,,AA,,H,,XI,AA,DE0000000,,X,AA,,,191100,ST,ST,0,ST,96,W,ST,191100,S,,V02,AA-P02,V,,WRX,RMWE,WE01,13440,13440,0,112000,13440,0,112000,112000,112000,0,NonFraud,5000000001,4,Sachkontenbuchung,13:36:18
X,,X,,,0,,,,,,,,,H,,XI,,,X,X,,1,R,160000,,,,,31,,,160000,K,,V01,,,160000,KBS,RMRP,,209272,,0,,,0,0,0,0,209272,NonFraud,5100000000,1,Kreditorische Rechnung,13:36:18
X,3000,X,,,1,X,X,,,0,,AA,,S,,XI,AA,DE0000000,,X,AA,,,191100,KG,KG,0,KG,86,W,KG,191100,S,,,AA-R02,V,,WRX,RMRP,RE01,134400,134400,0,33600,134400,0,33600,33600,33600,0,NonFraud,5100000000,2,Sachkontenbuchung,13:36:18
X,3000,X,,,1,X,X,,,0,,AA,,S,,XI,AA,DE0000000,,X,AA,,,191100,KG,KG,0,KG,86,W,KG,191100,S,,,AA-R05,V,,WRX,RMRP,RE01,38808,38808,0,39200,38808,0,39200,39200,39200,0,NonFraud,5100000000,3,Sachkontenbuchung,13:36:18
X,3000,X,,,1,X,X,,,0,,AA,,S,,XI,AA,DE0000000,,X,AA,,,191100,KG,KG,0,KG,86,W,KG,191100,S,,,AA-R06,V,,WRX,RMRP,RE01,36064,36064,0,39200,36064,0,39200,39200,39200,0,NonFraud,5100000000,4,Sachkontenbuchung,13:36:18
X,,X,,,0,,,,,,,,,H,,XI,,,X,X,,1,R,160000,,,,,31,,,160000,K,,V02,,,160000,KBS,RMRP,,44800,,0,,,0,0,0,0,44800,NonFraud,5100000001,1,Kreditorische Rechnung,13:36:19
X,3000,X,,,1,X,X,,,0,,AA,,S,,XI,AA,DE0000000,,X,AA,,,191100,ST,ST,0,ST,86,W,ST,191100,S,,,AA-P01,V,,WRX,RMRP,RE01,31360,31360,0,112000,31360,0,112000,112000,112000,0,NonFraud,5100000001,2,Sachkontenbuchung,13:36:19
X,3000,X,,,1,X,X,,,0,,AA,,S,,XI,AA,DE0000000,,X,AA,,,191100,ST,ST,0,ST,86,W,ST,191100,S,,,AA-P02,V,,WRX,RMRP,RE01,13440,13440,0,112000,13440,0,112000,112000,112000,0,NonFraud,5100000001,3,Sachkontenbuchung,13:36:19
X,3000,,,,0,X,X,,,0,,AA,,S,,XI,AA,DE0000000,,,AA,,,,KG,KG,0,KG,89,M,KG,300000,M,,V01,AA-R02,V,,BSX,RMWE,WE01,172800,172800,0,76800,307200,0,43200,43200,43200,0,NonFraud,5000000002,1,Materialzugang,13:37:16
X,3000,X,,,0,X,X,,,0,,AA,,H,,XI,AA,DE0000000,,X,AA,,,191100,KG,KG,0,KG,96,W,KG,191100,S,,V01,AA-R02,V,,WRX,RMWE,WE01,172800,172800,0,76800,307200,0,43200,43200,43200,0,NonFraud,5000000002,2,Sachkontenbuchung,13:37:16
X,3000,,,,0,X,X,,,0,,AA,,S,,XI,AA,DE0000000,,,AA,,,,KG,KG,0,KG,89,M,KG,300000,M,,V01,AA-R05,V,,BSX,RMWE,WE01,49896,49896,0,89600,88704,0,50400,50400,50400,0,NonFraud,5000000002,3,Materialzugang,13:37:16
X,3000,X,,,0,X,X,,,0,,AA,,H,,XI,AA,DE0000000,,X,AA,,,191100,KG,KG,0,KG,96,W,KG,191100,S,,V01,AA-R05,V,,WRX,RMWE,WE01,49896,49896,0,89600,88704,0,50400,50400,50400,0,NonFraud,5000000002,4,Sachkontenbuchung,13:37:16
X,3000,,,,0,X,X,,,0,,AA,,S,,XI,AA,DE0000000,,,AA,,,,KG,KG,0,KG,89,M,KG,300000,M,,V01,AA-R06,V,,BSX,RMWE,WE01,46368,46368,0,89600,82432,0,50400,50400,50400,0,NonFraud,5000000002,5,Materialzugang,13:37:16
X,3000,X,,,0,X,X,,,0,,AA,,H,,XI,AA,DE0000000,,X,AA,,,191100,KG,KG,0,KG,96,W,KG,191100,S,,V01,AA-R06,V,,WRX,RMWE,WE01,46368,46368,0,89600,82432,0,50400,50400,50400,0,NonFraud,5000000002,6,Sachkontenbuchung,13:37:16
X,3000,,,,0,X,X,,,0,,AA,,S,,XI,AA,DE0000000,,,AA,,,,ST,ST,0,ST,89,M,ST,300000,M,,V02,AA-P01,V,,BSX,RMWE,WE01,40320,40320,0,256000,71680,0,144000,144000,144000,0,NonFraud,5000000003,1,Materialzugang,13:37:17
X,3000,X,,,0,X,X,,,0,,AA,,H,,XI,AA,DE0000000,,X,AA,,,191100,ST,ST,0,ST,96,W,ST,191100,S,,V02,AA-P01,V,,WRX,RMWE,WE01,40320,40320,0,256000,71680,0,144000,144000,144000,0,NonFraud,5000000003,2,Sachkontenbuchung,13:37:17
