TX_ID,ALERT_TYPE
42221,mule_fanin
42385,mule_fanin
43557,mule_fanin
44551,mule_fanin
44963,mule_fanin
47123,mule_fanin
47397,mule_fanin
47461,mule_fanin
47609,mule_fanin
47610,mule_fanin
49470,mule_fanin
49930,mule_fanin
49991,mule_fanin
50143,mule_fanin
50375,mule_fanin
50525,mule_fanin
51381,mule_fanin
51640,mule_fanin
52117,mule_fanin
52123,mule_fanin
52168,mule_fanin
52394,mule_fanin
52547,mule_fanin
52824,mule_fanin
52878,mule_fanin
53299,mule_fanin
53748,mule_fanin
53768,mule_fanin
53878,mule_fanin
54454,mule_fanin
54862,laundering_cycle
54914,mule_fanin
54994,laundering_cycle
55365,mule_fanin
55785,mule_fanin
55972,mule_fanin
56008,mule_fanin
56692,mule_fanin
56996,mule_fanin
57016,mule_fanin
57432,mule_fanin
57533,mule_fanin
57921,mule_fanin
58792,laundering_cycle
59357,mule_fanin
59613,mule_fanin
59640,mule_fanin
59674,mule_fanin
59683,mule_fanin
60352,mule_fanin
60428,lapping
61144,laundering_cycle
62095,laundering_cycle
62128,mule_fanin
62621,mule_fanin
62791,mule_fanin
62908,mule_fanin
62925,mule_fanin
62941,mule_fanin
62942,mule_fanin
62948,mule_fanin
62964,mule_fanin
62966,mule_fanin
63912,mule_fanin
63938,mule_fanin
64390,laundering_cycle
65315,laundering_cycle
65735,mule_fanin
66655,mule_fanin
67042,mule_fanin
67850,laundering_cycle
68350,mule_fanin
68591,mule_fanin
69262,mule_fanin
69322,mule_fanin
69903,mule_fanin
70536,mule_fanin
70573,laundering_cycle
70771,mule_fanin
70845,mule_fanin
70860,mule_fanin
70889,mule_fanin
71133,laundering_cycle
71235,laundering_cycle
71662,mule_fanin
72063,mule_fanin
72065,mule_fanin
72076,mule_fanin
72089,mule_fanin
72674,mule_fanin
72718,laundering_cycle
73071,mule_fanin
73311,laundering_cycle
73364,mule_fanin
73651,mule_fanin
73674,mule_fanin
73865,laundering_cycle
73908,laundering_cycle
73934,mule_fanin
73979,laundering_cycle
73987,mule_fanin
73992,laundering_cycle
74015,laundering_cycle
74033,mule_fanin
74280,mule_fanin
74296,mule_fanin
76247,mule_fanin
76669,mule_fanin
76881,laundering_cycle
76900,mule_fanin
77405,mule_fanin
77881,mule_fanin
77896,mule_fanin
77923,mule_fanin
78050,laundering_cycle
78298,mule_fanin
78557,laundering_cycle
78822,lapping
79421,mule_fanin
79746,laundering_cycle
79876,mule_fanin
80098,laundering_cycle
80400,laundering_cycle
80715,mule_fanin
81026,mule_fanin
81398,mule_fanin
81884,mule_fanin
82139,laundering_cycle
82160,laundering_cycle
82171,mule_fanin
82228,mule_fanin
82302,lapping
82514,laundering_cycle
82548,mule_fanin
82762,laundering_cycle
83280,laundering_cycle
83303,laundering_cycle
83529,mule_fanin
83572,mule_fanin
83716,laundering_cycle
83773,mule_fanin
83774,mule_fanin
83900,mule_fanin
84193,mule_fanin
84236,mule_fanin
84266,mule_fanin
84325,mule_fanin
84358,mule_fanin
85133,laundering_cycle
85236,mule_fanin
85238,mule_fanin
85658,laundering_cycle
85863,laundering_cycle
86106,mule_fanin
86147,laundering_cycle
86561,mule_fanin
86636,mule_fanin
86756,laundering_cycle
86780,laundering_cycle
86783,mule_fanin
86794,mule_fanin
87497,mule_fanin
87580,mule_fanin
87595,laundering_cycle
87810,laundering_cycle
88201,laundering_cycle
88501,laundering_cycle
88618,laundering_cycle
88826,laundering_cycle
89772,mule_fanin
89782,mule_fanin
90107,mule_fanin
90163,laundering_cycle
90211,mule_fanin
90596,mule_fanin
90749,laundering_cycle
91073,mule_fanin
91267,laundering_cycle
91300,mule_fanin
91427,mule_fanin
91446,mule_fanin
91450,laundering_cycle
91454,laundering_cycle
91465,laundering_cycle
91518,mule_fanin
91820,laundering_cycle
91922,laundering_cycle
91958,laundering_cycle
92146,laundering_cycle
92241,laundering_cycle
92335,mule_fanin
92563,laundering_cycle
92571,mule_fanin
92973,mule_fanin
93001,mule_fanin
93004,mule_fanin
93017,mule_fanin
93029,mule_fanin
93352,mule_fanin
93356,laundering_cycle
93474,laundering_cycle
93948,mule_fanin
94095,laundering_cycle
94686,laundering_cycle
94805,mule_fanin
94998,mule_fanin
95001,mule_fanin
95129,laundering_cycle
95325,laundering_cycle
95545,laundering_cycle
95558,laundering_cycle
95901,laundering_cycle
95910,laundering_cycle
95955,mule_fanin
96007,mule_fanin
96023,laundering_cycle
96034,laundering_cycle
96037,laundering_cycle
96042,laundering_cycle
96067,laundering_cycle
96079,laundering_cycle
96283,laundering_cycle
96309,laundering_cycle
96662,lapping
97045,laundering_cycle
97581,laundering_cycle
98125,laundering_cycle
98185,mule_fanin
98326,mule_fanin
98339,mule_fanin
98375,mule_fanin
98465,laundering_cycle
98541,mule_fanin
98816,laundering_cycle
98860,mule_fanin
98902,laundering_cycle
98921,mule_fanin
99046,laundering_cycle
99109,laundering_cycle
99113,mule_fanin
99209,mule_fanin
99851,laundering_cycle
100007,mule_fanin
100019,laundering_cycle
100136,laundering_cycle
100359,mule_fanin
100628,laundering_cycle
100638,laundering_cycle
100677,laundering_cycle
100723,mule_fanin
100786,laundering_cycle
101515,mule_fanin
101765,mule_fanin
101778,laundering_cycle
102434,mule_fanin
102455,laundering_cycle
102533,mule_fanin
102745,lapping
102801,laundering_cycle
103285,laundering_cycle
103886,mule_fanin
104086,mule_fanin
104199,mule_fanin
104605,lapping
104628,mule_fanin
104811,mule_fanin
104920,mule_fanin
105086,mule_fanin
105110,mule_fanin
105222,laundering_cycle
105456,laundering_cycle
105470,mule_fanin
105494,mule_fanin
105498,laundering_cycle
105520,mule_fanin
105535,laundering_cycle
105737,laundering_cycle
105897,laundering_cycle
106698,laundering_cycle
106801,mule_fanin
108021,laundering_cycle
108288,mule_fanin
108497,mule_fanin
108623,laundering_cycle
108692,laundering_cycle
108868,laundering_cycle
108873,laundering_cycle
108941,laundering_cycle
108966,mule_fanin
109077,mule_fanin
109133,laundering_cycle
109167,laundering_cycle
109174,laundering_cycle
109272,laundering_cycle
109507,laundering_cycle
109558,mule_fanin
109787,laundering_cycle
109955,mule_fanin
110155,mule_fanin
110198,mule_fanin
110211,laundering_cycle
110226,laundering_cycle
110963,laundering_cycle
111024,laundering_cycle
111066,laundering_cycle
111071,laundering_cycle
111096,larceny
111123,laundering_cycle
111239,laundering_cycle
111588,mule_fanin
111613,laundering_cycle
111625,laundering_cycle
111636,laundering_cycle
111665,laundering_cycle
111675,laundering_cycle
111676,mule_fanin
112113,laundering_cycle
112518,mule_fanin
112560,laundering_cycle
112805,mule_fanin
112900,laundering_cycle
112987,laundering_cycle
113042,laundering_cycle
113318,laundering_cycle
113413,laundering_cycle
113554,laundering_cycle
113562,laundering_cycle
113798,laundering_cycle
113887,laundering_cycle
114039,laundering_cycle
114187,laundering_cycle
114216,mule_fanin
114593,mule_fanin
114733,laundering_cycle
114784,laundering_cycle
114790,laundering_cycle
114793,laundering_cycle
114803,laundering_cycle
115696,invoice_kickback
116183,mule_fanin
116829,mule_fanin
116856,laundering_cycle
117221,mule_fanin
117269,laundering_cycle
117378,laundering_cycle
117408,laundering_cycle
117874,laundering_cycle
117914,mule_fanin
118259,mule_fanin
118348,lapping
118905,laundering_cycle
119247,laundering_cycle
119461,mule_fanin
119756,laundering_cycle
120387,mule_fanin
120546,mule_fanin
121006,mule_fanin
121074,mule_fanin
121218,mule_fanin
121262,laundering_cycle
122236,invoice_kickback
122397,laundering_cycle
122733,laundering_cycle
122776,laundering_cycle
123098,mule_fanin
123488,laundering_cycle
123917,laundering_cycle
124079,laundering_cycle
124096,laundering_cycle
124131,mule_fanin
124147,laundering_cycle
124174,laundering_cycle
124238,laundering_cycle
124303,laundering_cycle
124511,lapping
124757,lapping
124970,laundering_cycle
125098,laundering_cycle
126264,mule_fanin
126371,mule_fanin
126374,mule_fanin
126511,mule_fanin
127104,mule_fanin
127110,laundering_cycle
127111,mule_fanin
127122,laundering_cycle
127134,laundering_cycle
127153,laundering_cycle
127332,lapping
127749,laundering_cycle
127767,laundering_cycle
128039,invoice_kickback
128312,mule_fanin
128320,laundering_cycle
128331,laundering_cycle
128460,laundering_cycle
128626,mule_fanin
128831,mule_fanin
128857,mule_fanin
128859,laundering_cycle
129043,laundering_cycle
129313,mule_fanin
129395,laundering_cycle
129596,mule_fanin
129939,mule_fanin
130243,laundering_cycle
